2025-10-15 16:28:42 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:28:42 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:28:42 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:43:42 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:43:42 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:43:42 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:43:48 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:43:48 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:43:48 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:43:54 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:43:54 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:43:54 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:01 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:01 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:01 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:08 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:08 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:08 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:14 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:14 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:14 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:21 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:21 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:21 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:28 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:28 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:28 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:34 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:34 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:34 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:44:41 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:44:41 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:44:41 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:19 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:19 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:19 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:25 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:25 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:25 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:31 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:31 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:31 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:38 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:38 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:38 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:44 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:44 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:44 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:51 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:51 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:51 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:46:57 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:46:57 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:46:57 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:47:04 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:47:04 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:47:04 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:47:11 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:47:11 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:47:11 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:47:17 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:47:17 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:47:17 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:52:05 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:52:05 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:52:05 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:52:12 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:52:12 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-10-15 16:52:12 | INFO     | service.storage_service:<module>:693 - 存储服务初始化成功
2025-10-15 16:52:18 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: localhost:9000
2025-10-15 16:52:18 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
