2025-08-03 10:22:11 | WARNING  | __main__:lifespan:95 - LLM-one_api: one_api LLM环境变量未配置
2025-08-03 10:22:11 | WARNING  | __main__:lifespan:95 - LLM-alibaba: alibaba LLM环境变量未配置
2025-08-03 10:22:11 | WARNING  | __main__:lifespan:95 - Embedding-one_api_embedding: one_api_embedding向量化服务不支持网关模式，需要直连配置
2025-08-03 10:22:11 | INFO     | __main__:lifespan:114 - 应用降级配置以确保系统正常运行
2025-08-03 10:22:11 | INFO     | __main__:lifespan:122 - 💾 步骤 2/7: 数据库初始化
2025-08-03 10:22:11 | INFO     | db.database:init_all_databases:745 - 🔧 开始检查和初始化所有数据库连接...
2025-08-03 10:22:11 | INFO     | db.database:init_all_databases:748 - 📊 PostgreSQL 状态检查...
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_database:85 - 检测到本地开发环境，开始数据库状态检查...
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_database:94 - 检查数据库配置: mat_demo@8.153.90.125:5432/mat_demo
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_database:114 - 数据库 mat_demo 已存在
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_database:120 - 数据库已完成初始化，跳过重复初始化
2025-08-03 10:22:11 | INFO     | db.database:init_all_databases:751 - ✅ PostgreSQL 检查完成
2025-08-03 10:22:11 | INFO     | db.database:init_all_databases:757 - 🔍 Elasticsearch 状态检查...
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_elasticsearch:193 - 检测到本地开发环境，开始Elasticsearch状态检查...
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_elasticsearch:204 - 本地环境URL强制调整为: http://8.153.90.125:9200
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_elasticsearch:217 - 使用API Key认证
2025-08-03 10:22:11 | WARNING  | db.database:check_and_init_elasticsearch:228 - Elasticsearch ping失败
2025-08-03 10:22:11 | WARNING  | db.database:init_all_databases:762 - ⚠️ Elasticsearch 检查失败，但系统将继续运行
2025-08-03 10:22:11 | INFO     | db.database:init_all_databases:765 - 📈 ArangoDB 状态检查...
2025-08-03 10:22:11 | INFO     | db.database:check_and_init_arangodb:371 - 检测到本地开发环境，开始ArangoDB状态检查...
