2025-07-28 15:50:39 | INFO     | service.storage_service:_init_minio_client:67 - MinIO客户端初始化成功: 8.153.90.125:9000
2025-07-28 15:50:39 | INFO     | service.storage_service:__init__:39 - 跳过MinIO存储桶验证，直接连接已存在的存储桶
2025-07-28 15:50:39 | INFO     | service.storage_service:<module>:510 - 存储服务初始化成功
2025-07-28 15:50:43 | INFO     | service.dual_vector_service:__init__:87 - 配置文件中未找到retrieval配置，使用环境变量默认配置
2025-07-28 15:50:43 | INFO     | service.dual_vector_service:__init__:96 - 双向量服务初始化 - 通用模型: alibaba/text-embedding-v4, 领域模型: matbert/matbert-embedding
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:_load_v2_config:286 - [CONFIG] V2配置加载成功
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: question_decomposition_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: translation_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: knowledge_retrieval_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: knowledge_graph_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: summary_answer_agent
2025-07-28 15:50:48 | ERROR    | service.advanced_agent_team_service:create_team:402 - [TEAM] 团队 geopolymer_qa_team_v2 没有有效成员
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:register_session:468 - [SESSION] 注册高级Team会话: test_session_1753689048
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:cleanup_session:487 - [SESSION] 清理高级Team会话资源: test_session_1753689048
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:register_session:468 - [SESSION] 注册高级Team会话: test_query_1753689048
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: question_decomposition_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: translation_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: knowledge_retrieval_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: knowledge_graph_agent
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
2025-07-28 15:50:48 | WARNING  | service.advanced_agent_team_service:create_team:399 - [TEAM] 无法创建团队成员: summary_answer_agent
2025-07-28 15:50:48 | ERROR    | service.advanced_agent_team_service:create_team:402 - [TEAM] 团队 geopolymer_qa_team_v2 没有有效成员
2025-07-28 15:50:48 | ERROR    | service.advanced_agent_team_service:advanced_team_query:501 - [TEAM] 无法创建团队: geopolymer_qa_team_v2
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:register_session:468 - [SESSION] 注册高级Team会话: test_stream_1753689048
2025-07-28 15:50:48 | INFO     | service.advanced_agent_team_service:register_session:468 - [SESSION] 注册高级Team会话: test_multilingual_1753689048
2025-07-28 15:50:48 | ERROR    | service.agent_service:_create_agno_model:1064 - 创建模型实例失败: 'dict' object has no attribute 'model_provider'
